 Region,Country Code,,2021
Aruba,ABW,,3126019399
Africa Eastern and Southern,AFE,,1.08071E+12
Afghanistan,AFG,,14786861638
Africa Western and Central,AFW,,8.40187E+11
Angola,AGO,,67404287260
Albania,ALB,,18255787479
Andorra,AND,,3330281524
Arab World,ARB,,2.86072E+12
United Arab Emirates,ARE,,4.15022E+11
Argentina,ARG,,4.87227E+11
Armenia,ARM,,13861409969
American Samoa,ASM,,709000000
Antigua and Barbuda,ATG,,1471125926
Australia,AUS,,1.55267E+12
Austria,AUT,,4.80368E+11
Azerbaijan,AZE,,54622176471
Burundi,BDI,,2779813489
Belgium,BEL,,5.94104E+11
Benin,BEN,,17144918952
Burkina Faso,BFA,,19737615114
Bangladesh,BGD,,4.16265E+11
Bulgaria,BGR,,84056312734
Bahrain,BHR,,38868663032
"Bahamas, The",BHS,,11208600000
Bosnia and Herzegovina,BIH,,23365361635
Belarus,BLR,,68205380707
Belize,BLZ,,2491500000
Bermuda,BMU,,7286607000
Bolivia,BOL,,40408208528
Brazil,BRA,,1.60898E+12
Barbados,BRB,,4843800000
Brunei Darussalam,BRN,,14006569576
Bhutan,BTN,,2539552985
Botswana,BWA,,17614791266
Central African Republic,CAF,,2516498299
Canada,CAN,,1.98834E+12
Central Europe and the Baltics,CEB,,1.90194E+12
Switzerland,CHE,,8.0064E+11
Channel Islands,CHI,,
Chile,CHL,,3.17059E+11
China,CHN,,1.77341E+13
Cote d'Ivoire,CIV,,70043191477
Cameroon,CMR,,45338283345
"Congo, Dem. Rep.",COD,,55350968593
"Congo, Rep.",COG,,13366230220
Colombia,COL,,3.14464E+11
Comoros,COM,,1296089633
Cabo Verde,CPV,,1936174043
Costa Rica,CRI,,64282438667
Caribbean small states,CSS,,75295300457
Cuba,CUB,,
Curacao,CUW,,2699612458
Cayman Islands,CYM,,5898449688
Cyprus,CYP,,28407867534
Czechia,CZE,,2.81778E+11
Germany,DEU,,4.25993E+12
Djibouti,DJI,,3482987379
Dominica,DMA,,554181481.5
Denmark,DNK,,3.98303E+11
Dominican Republic,DOM,,94243453937
Algeria,DZA,,1.63044E+11
East Asia & Pacific (excluding high income),EAP,,2.07518E+13
Early-demographic dividend,EAR,,1.26332E+13
East Asia & Pacific,EAS,,3.09117E+13
Europe & Central Asia (excluding high income),ECA,,3.51737E+12
Europe & Central Asia,ECS,,2.50828E+13
Ecuador,ECU,,1.06166E+11
"Egypt, Arab Rep.",EGY,,4.04143E+11
Euro area,EMU,,1.45633E+13
Eritrea,ERI,,
Spain,ESP,,1.42738E+12
Estonia,EST,,37191166152
Ethiopia,ETH,,1.11271E+11
European Union,EUU,,1.71774E+13
Fragile and conflict affected situations,FCS,,1.78734E+12
Finland,FIN,,2.97302E+11
Fiji,FJI,,4296304590
France,FRA,,2.95788E+12
Faroe Islands,FRO,,3649886275
"Micronesia, Fed. Sts.",FSM,,404028900
Gabon,GAB,,20216843174
United Kingdom,GBR,,3.13138E+12
Georgia,GEO,,18629365597
Ghana,GHA,,77594279055
Gibraltar,GIB,,
Guinea,GIN,,16091817842
"Gambia, The",GMB,,2038417462
Guinea-Bissau,GNB,,1638517533
Equatorial Guinea,GNQ,,12269392840
Greece,GRC,,2.14874E+11
Grenada,GRD,,1122807407
Greenland,GRL,,
Guatemala,GTM,,85985752107
Guam,GUM,,6123000000
Guyana,GUY,,8044498801
High income,HIC,,5.98297E+13
"Hong Kong SAR, China",HKG,,3.69176E+11
Honduras,HND,,28488668302
Heavily indebted poor countries (HIPC),HPC,,8.92066E+11
Croatia,HRV,,68955083280
Haiti,HTI,,20944392615
Hungary,HUN,,1.81848E+11
IBRD only,IBD,,3.55114E+13
IDA & IBRD total,IBT,,3.80464E+13
IDA total,IDA,,2.5353E+12
IDA blend,IDB,,1.09648E+12
Indonesia,IDN,,1.18609E+12
IDA only,IDX,,1.4388E+12
Isle of Man,IMN,,
India,IND,,3.1763E+12
Not classified,INX,,
Ireland,IRL,,5.04183E+11
"Iran, Islamic Rep.",IRN,,3.59713E+11
Iraq,IRQ,,2.07889E+11
Iceland,ISL,,25602419210
Israel,ISR,,4.88527E+11
Italy,ITA,,2.1077E+12
Jamaica,JAM,,14657586937
Jordan,JOR,,45744271659
Japan,JPN,,4.94088E+12
Kazakhstan,KAZ,,1.97112E+11
Kenya,KEN,,1.10347E+11
Kyrgyz Republic,KGZ,,8543423503
Cambodia,KHM,,26961061120
Kiribati,KIR,,207031250
St. Kitts and Nevis,KNA,,860840740.7
"Korea, Rep.",KOR,,1.81096E+12
Kuwait,KWT,,
Latin America & Caribbean (excluding high income),LAC,,4.5851E+12
Lao PDR,LAO,,18827148510
Lebanon,LBN,,23131940281
Liberia,LBR,,3509000000
Libya,LBY,,42817472975
St. Lucia,LCA,,1691275157
Latin America & Caribbean,LCN,,5.45443E+12
Least developed countries: UN classification,LDC,,1.26454E+12
Low income,LIC,,5.06017E+11
Liechtenstein,LIE,,
Sri Lanka,LKA,,88927263725
Lower middle income,LMC,,8.74253E+12
Low & middle income,LMY,,3.63542E+13
Lesotho,LSO,,2496134680
Late-demographic dividend,LTE,,2.66221E+13
Lithuania,LTU,,66445256585
Luxembourg,LUX,,85506243834
Latvia,LVA,,39853501580
"Macao SAR, China",MAC,,30123914809
St. Martin (French part),MAF,,
Morocco,MAR,,1.42866E+11
Monaco,MCO,,8596096984
Moldova,MDA,,13679221333
Madagascar,MDG,,14472603323
Maldives,MDV,,5405576236
Middle East & North Africa,MEA,,3.6768E+12
Mexico,MEX,,1.27284E+12
Marshall Islands,MHL,,259538700
Middle income,MIC,,3.58451E+13
North Macedonia,MKD,,13825049832
Mali,MLI,,19140461606
Malta,MLT,,17364044944
Myanmar,MMR,,65091751273
Middle East & North Africa (excluding high income),MNA,,1.49044E+12
Montenegro,MNE,,5861268039
Mongolia,MNG,,15286441818
Northern Mariana Islands,MNP,,
Mozambique,MOZ,,15776758633
Mauritania,MRT,,9996249658
Mauritius,MUS,,11529042672
Malawi,MWI,,12626717492
Malaysia,MYS,,3.72981E+11
North America,NAC,,2.53107E+13
Namibia,NAM,,12310595844
New Caledonia,NCL,,10071351960
Niger,NER,,14915001427
Nigeria,NGA,,4.40834E+11
Nicaragua,NIC,,14013022092
Netherlands,NLD,,1.01285E+12
Norway,NOR,,4.82175E+11
Nepal,NPL,,36288830373
Nauru,NRU,,133218896.9
New Zealand,NZL,,2.49886E+11
OECD members,OED,,5.82684E+13
Oman,OMN,,88191977373
Other small states,OSS,,4.53948E+11
Pakistan,PAK,,3.48263E+11
Panama,PAN,,63605100000
Peru,PER,,2.23249E+11
Philippines,PHL,,3.94086E+11
Palau,PLW,,217800000
Papua New Guinea,PNG,,26594305746
Poland,POL,,6.79445E+11
Pre-demographic dividend,PRE,,1.42705E+12
Puerto Rico,PRI,,1.06526E+11
"Korea, Dem. People's Rep.",PRK,,
Portugal,PRT,,2.53663E+11
Paraguay,PRY,,39495431574
West Bank and Gaza,PSE,,18036800000
Pacific island small states,PSS,,9481916212
Post-demographic dividend,PST,,5.49727E+13
French Polynesia,PYF,,6054676735
Qatar,QAT,,1.79677E+11
Romania,ROU,,2.84088E+11
Russian Federation,RUS,,1.77878E+12
Rwanda,RWA,,11070356519
South Asia,SAS,,4.08877E+12
Saudi Arabia,SAU,,8.33541E+11
Sudan,SDN,,34326058557
Senegal,SEN,,27625388352
Singapore,SGP,,3.96987E+11
Solomon Islands,SLB,,1631486532
Sierra Leone,SLE,,4042237864
El Salvador,SLV,,28736940000
San Marino,SMR,,
Somalia,SOM,,7628000011
Serbia,SRB,,63082047650
Sub-Saharan Africa (excluding high income),SSA,,1.91944E+12
South Sudan,SSD,,
Sub-Saharan Africa,SSF,,1.9209E+12
Small states,SST,,5.38706E+11
Sao Tome and Principe,STP,,526653790.7
Suriname,SUR,,2984706244
Slovak Republic,SVK,,1.16527E+11
Slovenia,SVN,,61748586535
Sweden,SWE,,6.35664E+11
Eswatini,SWZ,,4743335153
Sint Maarten (Dutch part),SXM,,
Seychelles,SYC,,1454458184
Syrian Arab Republic,SYR,,
Turks and Caicos Islands,TCA,,943269800
Chad,TCD,,11779980802
East Asia & Pacific (IDA & IBRD countries),TEA,,2.07252E+13
Europe & Central Asia (IDA & IBRD countries),TEC,,4.55039E+12
Togo,TGO,,8413200568
Thailand,THA,,5.05947E+11
Tajikistan,TJK,,8746270636
Turkmenistan,TKM,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,,5.18313E+12
Timor-Leste,TLS,,3621222382
Middle East & North Africa (IDA & IBRD countries),TMN,,1.4724E+12
Tonga,TON,,469231309.5
South Asia (IDA & IBRD),TSA,,4.08877E+12
Sub-Saharan Africa (IDA & IBRD countries),TSS,,1.9209E+12
Trinidad and Tobago,TTO,,24460196271
Tunisia,TUN,,46686741814
Turkiye,TUR,,8.19035E+11
Tuvalu,TUV,,63100961.54
Tanzania,TZA,,67841049193
Uganda,UGA,,40529789026
Ukraine,UKR,,2.00086E+11
Upper middle income,UMC,,2.71041E+13
Uruguay,URY,,59319484711
United States,USA,,2.33151E+13
Uzbekistan,UZB,,69238903106
St. Vincent and the Grenadines,VCT,,904181492.8
"Venezuela, RB",VEN,,
British Virgin Islands,VGB,,
Virgin Islands (U.S.),VIR,,
Vietnam,VNM,,3.66138E+11
Vanuatu,VUT,,956332655.7
World,WLD,,9.65131E+13
Samoa,WSM,,843842416.5
Kosovo,XKX,,9412034299
"Yemen, Rep.",YEM,,
South Africa,ZAF,,4.19015E+11
Zambia,ZMB,,22147634727
Zimbabwe,ZWE,,28371238666
